新加坡,#genre#
Channel 5,http://45.207.205.213:19890/trams/1601/playlist.m3u8?token=abcdsoooyu888
Channel 5 backup,http://45.207.205.213:19890/trams/2788/playlist.m3u8?token=abcdsoooyu888
Channel 8,http://45.207.205.213:19890/trams/1602/playlist.m3u8?token=abcdsoooyu888
Channel 8 backup,http://45.207.205.213:19890/trams/2789/playlist.m3u8?token=abcdsoooyu888
Channel U,http://45.207.205.213:19890/trams/286/playlist.m3u8?token=abcdsoooyu888
Channel U backup,http://45.207.205.213:19890/trams/2790/playlist.m3u8?token=abcdsoooyu888
Suria,http://45.207.205.213:19890/trams/284/playlist.m3u8?token=abcdsoooyu888
Suria backup,http://45.207.205.213:19890/trams/2791/playlist.m3u8?token=abcdsoooyu888
Vasantham,http://45.207.205.213:19890/trams/287/playlist.m3u8?token=abcdsoooyu888
Vasantham backup,http://45.207.205.213:19890/trams/2792/playlist.m3u8?token=abcdsoooyu888
CNA backup1,http://45.207.205.213:19890/trams/2793/playlist.m3u8?token=abcdsoooyu888
CNA backup2,http://45.207.205.213:19890/trams/2664/playlist.m3u8?token=abcdsoooyu888
CNN,http://45.207.205.213:19890/trams/2715/playlist.m3u8?token=abcdsoooyu888
CNN backup,http://45.207.205.213:19890/trams/2074/playlist.m3u8?token=abcdsoooyu888
CNA,http://45.207.205.213:19890/trams/677/playlist.m3u8?token=abcdsoooyu888
马来西亚,#genre#
TV1,http://45.207.205.213:19890/trams/1667/playlist.m3u8?token=abcdsoooyu888
TV1 backup,http://45.207.205.213:19890/trams/2702/playlist.m3u8?token=abcdsoooyu888
TV2,http://45.207.205.213:19890/trams/3/playlist.m3u8?token=abcdsoooyu888
TV3,http://45.207.205.213:19890/trams/1652/playlist.m3u8?token=abcdsoooyu888
TV3 SD,http://45.207.205.213:19890/trams/2829/playlist.m3u8?token=abcdsoooyu888
TV3 backup,http://45.207.205.213:19890/trams/2894/playlist.m3u8?token=abcdsoooyu888
TV3 backup2,http://45.207.205.213:19890/trams/2895/playlist.m3u8?token=abcdsoooyu888
TV5,http://45.207.205.213:19890/trams/2840/playlist.m3u8?token=abcdsoooyu888
NTV7,http://45.207.205.213:19890/trams/4/playlist.m3u8?token=abcdsoooyu888
8TV,http://45.207.205.213:19890/trams/292/playlist.m3u8?token=abcdsoooyu888
TV9,http://45.207.205.213:19890/trams/6/playlist.m3u8?token=abcdsoooyu888
Al-Hijrah,http://45.207.205.213:19890/trams/25/playlist.m3u8?token=abcdsoooyu888
